,MAE,RMSE,MAPE,sMAPE,MASE,bias,kind,val_MAE,PI_coverage
holt_winters_mul_m13,22453.142833803842,29926.31691531146,11.909784951169417,12.923521487484432,0.561255836670344,-18411.387203588285,classical,36530.177182043175,0.875
holt_winters_mul_m8,27624.010365455135,41807.41484403186,13.878871798468387,15.929749645523113,0.6905107745768159,-23466.514727358095,classical,29334.75946059577,0.75
seasonal_naive_m52,27724.0,38595.739573818246,16.591720702869658,15.766852188141106,0.693010191536403,-3837.75,classical,35712.5,0.875
holt_winters_mul_m26,30226.509390471754,34464.023681866296,16.825616819593638,18.45575646967897,0.7555648197290331,-25044.207214272803,classical,24756.466082082025,0.875
holt_winters_add_m13,30322.794168206827,39701.71690211435,16.107312501836574,18.198413114679663,0.7579716272698,-30322.794168206827,classical,40235.131522395954,0.875
holt_winters_add_m26,30654.865108069265,33829.93416607864,17.11397757723161,18.832881632823316,0.7662723250636877,-26900.34163989874,classical,24096.86077421075,0.875
timesfm_2p5_zeroshot,31731.947265625,40346.51945525373,16.879359317425823,18.989946544988687,0.7931958899283588,-27765.701171875,foundation,20721.2578125,0.875
ensemble_inv_val_mae,32028.86225830546,40862.9910440368,16.886237163867676,19.065152815422834,0.8006178029260329,-30825.41863750357,ensemble,,0.875
holt_winters_mul_m4,33592.40128884666,44246.87805845645,17.488715852347074,20.10507237432088,0.839701213798562,-33592.40128884666,classical,26529.287277343254,0.75
holt_winters_add_m8,38149.906682206405,50877.5050940482,19.766379395519476,23.223505701799375,0.95362408515841,-38149.906682206405,classical,32302.04396780736,0.75
holt_winters_add_m4,39926.67016079041,50811.33410501378,20.940033121665188,24.497774473275104,0.9980374165178238,-39926.67016079041,classical,32964.36442873482,0.75
seasonal_naive_m4,40128.625,54690.86257433686,21.00890560208139,24.83427212144441,1.0030856332903797,-29219.375,classical,29646.75,0.875
auto_arima_m4,69828.84550542415,76435.77188426828,38.52133258121664,48.58194280477146,1.74549493574087,-69828.84550542415,classical,28891.959285525903,0.5
