,MAE,RMSE,MAPE,sMAPE,MASE,bias,kind,val_MAE,PI_coverage
holt_winters_mul_m52,48.11825144383015,61.39856511307597,11.436579332760038,11.52173530752323,0.8034087253620229,-13.808619195711511,classical,67.60060332327093,0.625
holt_winters_mul_m26,54.25054250022287,72.05812504584291,13.07244727112266,13.5157166246041,0.905796821216182,-27.335009675157785,classical,48.29335137594766,0.75
holt_winters_add_m52,57.56408782813935,78.77592192916484,12.977199447523718,13.845782402140367,0.9611215919310582,-40.69056816169687,classical,67.22039713409634,0.5
timesfm_3_zeroshot,63.880836486816406,79.69192198649101,15.648030777819471,16.128703578340374,1.0665894931124658,-35.62401580810547,foundation,60.29891395568848,0.875
seasonal_naive_m52,80.0,119.28851579259421,17.157823686026656,20.71812841253387,1.3357238906320037,-78.75,classical,97.75,0.625
holt_winters_mul_m13,81.64403572636209,97.3222777256982,23.589652247284455,21.218731815974078,1.3631736130914334,12.450892670402837,classical,75.42622815359536,0.375
ensemble_inv_val_mae,81.78816558888258,94.36799127075167,20.17860364807173,21.05904680215408,1.36558008435046,-47.702757861691346,ensemble,,0.625
holt_winters_add_m26,84.53951845870179,100.60039318801604,20.331827920511802,21.675473122325954,1.4115181813476656,-53.65607260506285,classical,64.79448897957614,0.625
holt_winters_mul_m8,87.7502352092053,101.50797230540287,23.845128290351937,22.924955913808237,1.4651260697189141,-24.291265036957974,classical,119.36522928730358,0.375
holt_winters_add_m8,98.91873127541695,113.33382223521409,25.269390572247595,25.84660477317674,1.6516014074447698,-49.795383237223625,classical,106.16528244697804,0.5
holt_winters_add_m13,98.96094751046243,110.99151720946006,26.471109704436856,25.911645484191865,1.6523062728663047,-31.535472250760385,classical,65.87205127212283,0.5
holt_winters_add_m4,104.83624711966158,119.44185752232204,26.61160416888676,27.486834783122728,1.7504034985241568,-55.18161343439482,classical,101.94336421271242,0.5
holt_winters_mul_m4,106.6019858108611,119.63038688034379,27.27119080417648,27.99081761354514,1.779885240454763,-54.96913208566939,classical,102.45115136098079,0.5
auto_arima_m4,123.97346547920125,149.61422520912092,27.179668348433196,33.07187404220051,2.0699289955626385,-118.80276989330389,classical,68.152402307221,0.375
seasonal_naive_m4,177.125,190.81895870169714,45.44359406291684,52.91916203588814,2.9573761766024207,-126.125,classical,92.25,0.25
