model,under_units,over_units,asymmetric_cost,service_hit_rate,asymmetric_cost_sl90_order,under_units_sl90,MAE,MASE,MAPE
hw_mul_m52,247.74236489839868,137.22164895918002,1128.1911085527747,0.375,772.1904568019183,93.88758322684248,48.12050173219734,0.8034462974111838,11.436881753038975
hw_mul_m26,326.3399723755033,107.66338660633357,1413.0232761083466,0.375,861.1434957692342,107.66689202581756,54.25041987272961,0.905794773760277,13.072435169939048
hw_mul,326.3399723755033,107.66338660633357,1413.0232761083466,0.375,861.1434957692342,107.66689202581756,54.25041987272961,0.905794773760277,13.072435169939048
smart_stack,337.58395852405664,102.33441199000217,1452.6702460862286,0.375,896.3261894008781,123.48246091993008,54.98979631425735,0.9181398084742655,12.848579959476748
hw_mul_m13,276.77296349590205,376.37910856439123,1483.4709625479995,0.5,1115.4857871443987,78.84530923506281,81.64400900753665,1.363173166979265,23.589638878961523
hw_log1p,482.3137439694352,103.286610385682,2032.541586263423,0.375,1117.1793300673178,184.23150611959625,73.20004429438966,1.2221880994917145,16.707367388268555
hw_mul_m8,448.17044641699533,253.83483718350487,2046.5166228514863,0.375,1116.4037942395726,120.30695835867999,87.75066045006253,1.4651331697735674,23.845193321783917
timesfm_zeroshot,544.3157653808594,86.4315185546875,2263.694580078125,0.25,834.1330871582031,35.65045166015625,78.84341049194336,1.316412837662434,18.39434959572001
sarimax_exog,546.5996410994851,179.79959142204564,2366.198155819986,0.375,1491.1780885367416,272.0680683728081,90.79990406519133,1.5160450140871256,22.449336672577108
hw_mul_m4,646.2841159409996,206.53161005122183,2791.6680738152204,0.25,1347.86770199597,214.16555624893545,106.60196574902768,1.7798849054913857,27.271190572940096
hierarchy_bottom_up,719.4446922706684,4.444692270668497,2882.223461353342,0.125,1578.606980556344,383.36139611126885,90.48617306766711,1.5108067892293142,20.590758827433877
hgb_lags_exog,856.9429605468783,98.21763499367995,3525.9894771811933,0.25,2874.7404636677006,679.3295932250167,119.3950744425698,1.993485666959088,27.62794706054506
seasonal_naive,1616.0,0.0,6464.0,0.0,2613.4214457557214,595.2967579333786,202.0,3.372702823845809,45.66091943491587
