,MAE,RMSE,MAPE,sMAPE,MASE,bias
hw_mul_m13,22453.142833803842,29926.31691531146,11.909784951169417,12.923521487484432,0.561255836670344,-18411.387203588285
hw_mul_m8,27624.010365455135,41807.41484403186,13.878871798468387,15.929749645523113,0.6905107745768159,-23466.514727358095
hw_mul,30226.509390471754,34464.023681866296,16.825616819593638,18.45575646967897,0.7555648197290331,-25044.207214272803
hw_mul_m26,30226.509390471754,34464.023681866296,16.825616819593638,18.45575646967897,0.7555648197290331,-25044.207214272803
smart_stack,30936.614363827997,37538.54863798763,16.818331157318905,18.864693937968614,0.7733151437658446,-29772.76896291691
timesfm_zeroshot,31731.947265625,40346.51945525373,16.879359317425823,18.989946544988687,0.7931958899283588,-27765.701171875
hw_mul_m4,33592.40128884666,44246.87805845645,17.488715852347074,20.10507237432088,0.839701213798562,-33592.40128884666
hw_log1p,36921.098276781384,40602.38027609105,20.700655902991556,23.41272884653636,0.9229078555953911,-36921.098276781384
hierarchy_bottom_up,50624.125,55560.66351294039,28.432257579783894,33.94988829279295,1.265439134418295,-50624.125
hgb_lags_exog,58994.53381257757,70599.4309641783,31.554298885964627,39.46532076255481,1.474672239830298,-58994.53381257757
sarimax_exog,68223.6947730101,75391.59461379192,41.2692404234225,33.129337195642,1.7053713671174728,58400.69530214397
seasonal_naive,90606.875,93721.94120308755,51.957154305929144,71.24267881800499,2.2648783652526663,-90606.875
