,MAE,RMSE,MAPE,sMAPE,MASE,bias
hw_mul_m52,48.12050173219734,61.40161768448747,11.436881753038975,11.522237437504653,0.8034462974111838,-13.815089492402333
hw_mul_m26,54.25041987272961,72.05797952440815,13.072435169939048,13.515688547847216,0.905794773760277,-27.334573221146215
hw_mul,54.25041987272961,72.05797952440815,13.072435169939048,13.515688547847216,0.905794773760277,-27.334573221146215
smart_stack,54.98979631425735,73.64297148768956,12.848579959476748,13.365429998832854,0.9181398084742655,-29.40619331675681
hw_log1p,73.20004429438966,93.33646727163854,16.707367388268555,17.89935816924778,1.2221880994917145,-47.37839169796915
timesfm_zeroshot,78.84341049194336,93.5035090662995,18.39434959572001,19.794483454920403,1.316412837662434,-57.235530853271484
hw_mul_m13,81.64400900753665,97.32224702235823,23.589638878961523,21.21872644963388,1.363173166979265,12.450768133561148
hw_mul_m8,87.75066045006253,101.50778308991252,23.845193321783917,22.925065776619743,1.4651331697735674,-24.291951154186307
hierarchy_bottom_up,90.48617306766711,109.25793628167068,20.590758827433877,23.680553272275592,1.5108067892293142,-89.37499999999999
sarimax_exog,90.79990406519133,106.15736381085833,22.449336672577108,23.624464706924446,1.5160450140871256,-45.850006209679925
hw_mul_m4,106.60196574902768,119.63037100210524,27.271190572940096,27.990811744855094,1.7798849054913857,-54.969063236222226
hgb_lags_exog,119.3950744425698,136.0304357854475,27.62794706054506,31.719669212338637,1.993485666959088,-94.8406656941498
seasonal_naive,202.0,229.39703572627087,45.66091943491587,62.7813904566352,3.372702823845809,-202.0
